RecordID,ProductionDate,ProductionLine,Shift,MachineID,OperatorID,UnitsProduced,DefectiveUnits,DowntimeMinutes,CycleTimeSeconds,ProcessTempC
1,2024-01-01,Line-A,Morning,M-101,OP-009,509,8,21,37.62,67.1
2,2024-01-01,Line-A,Afternoon,M-101,OP-004,465,16,23,27.65,70.2
3,2024-01-01,Line-A,Night,M-101,OP-019,452,6,15,20.43,61.1
4,2024-01-01,Line-B,Morning,M-201,OP-003,446,16,39,37.46,62.4
5,2024-01-01,Line-B,Afternoon,M-201,OP-018,567,24,36,34.88,65.8
6,2024-01-01,Line-B,Night,M-202,OP-008,486,3,17,27.0,66.8
7,2024-01-01,Line-C,Morning,M-302,OP-001,443,16,11,24.71,71.3
8,2024-01-01,Line-C,Afternoon,M-301,OP-014,406,8,0,23.36,68.8
9,2024-01-01,Line-C,Night,M-301,OP-007,524,10,10,28.49,62.1
10,2024-01-01,Line-D,Morning,M-402,OP-004,436,6,27,31.72,60.9
11,2024-01-01,Line-D,Afternoon,M-401,OP-012,499,7,1,33.06,72.1
12,2024-01-01,Line-D,Night,M-402,OP-002,535,5,7,31.66,71.9
13,2024-01-02,Line-A,Morning,M-101,OP-013,451,7,0,24.02,71.3
14,2024-01-02,Line-A,Night,M-102,OP-019,561,10,27,31.81,65.4
15,2024-01-02,Line-B,Morning,M-201,OP-002,501,30,34,49.82,57.5
16,2024-01-02,Line-B,Afternoon,M-202,OP-003,529,10,7,30.46,60.0
17,2024-01-02,Line-B,Night,M-201,OP-013,466,23,57,39.41,64.8
18,2024-01-02,Line-C,Morning,M-303,OP-012,449,24,39,39.35,70.1
19,2024-01-02,Line-C,Afternoon,M-302,OP-007,485,13,1,28.36,66.4
20,2024-01-02,Line-C,Night,M-303,OP-003,392,19,38,42.03,67.1
21,2024-01-02,Line-D,Morning,M-401,OP-018,395,5,6,25.99,67.4
22,2024-01-02,Line-D,Afternoon,M-401,OP-015,504,19,14,31.29,67.7
23,2024-01-02,Line-D,Night,M-401,OP-011,364,6,12,42.32,67.2
24,2024-01-03,Line-A,Morning,M-101,OP-008,498,9,0,35.71,71.0
25,2024-01-03,Line-A,Afternoon,M-102,OP-013,527,5,33,22.99,70.3
26,2024-01-03,Line-A,Night,M-101,OP-019,611,5,3,30.5,66.0
27,2024-01-03,Line-B,Morning,M-202,OP-007,386,7,0,32.37,64.3
28,2024-01-03,Line-B,Afternoon,M-202,OP-015,572,6,7,34.07,63.1
29,2024-01-03,Line-B,Night,M-201,OP-008,493,29,10,42.92,69.0
30,2024-01-03,Line-C,Morning,M-303,OP-009,526,17,15,44.61,69.2
31,2024-01-03,Line-C,Afternoon,M-302,OP-019,495,11,1,31.16,69.2
32,2024-01-03,Line-C,Night,M-301,OP-005,437,16,19,24.04,70.6
33,2024-01-03,Line-D,Morning,M-401,OP-002,421,11,29,25.9,71.9
34,2024-01-03,Line-D,Afternoon,M-401,OP-006,504,13,40,28.77,65.0
35,2024-01-03,Line-D,Night,M-402,OP-020,426,4,10,31.71,69.1
36,2024-01-04,Line-A,Afternoon,M-102,OP-017,529,10,33,28.68,78.9
37,2024-01-04,Line-A,Night,M-101,OP-004,517,5,0,32.41,67.1
38,2024-01-04,Line-B,Morning,M-202,OP-011,522,12,10,25.77,61.9
39,2024-01-04,Line-B,Afternoon,M-202,OP-006,453,12,15,23.77,68.7
40,2024-01-04,Line-B,Night,M-202,OP-017,503,5,14,30.29,63.4
41,2024-01-04,Line-C,Morning,M-303,OP-004,501,25,51,47.27,62.5
42,2024-01-04,Line-C,Afternoon,M-302,OP-017,423,10,19,32.58,83.4
43,2024-01-04,Line-C,Night,M-301,OP-012,514,15,26,33.26,66.7
44,2024-01-04,Line-D,Morning,M-401,OP-020,525,5,8,27.57,68.3
